IPAddress,Consent,Condition,Time,Proximal,Distal,Summary,Age,Gender,Ethnicity,Education,SES,Condition_Text
96.248.89.42,1,0,34.855,4,4,"The government attempted to start a new economic program, and ended up destroying farm machinery and ruining food stores. Desperate, workers raided a village, taking their food and killing people. ",19,1,5,4,5,Accidental
66.108.113.150,1,0,38.75,5,5,"A government started a new program to save the economy, and in doing so accidentally destroyed food stores.  The people in the city had no food, and heard there was food in a village nearby, so they violently raided the village.",29,1,5,8,3,Accidental
216.119.40.58,1,0,42.038,3,3,The government's plan did not turn out as planned and in the aftermath innocent people were killed as a result.  It happens everyday. Best laid plans fall through.,35,2,5,5,4,Accidental
130.134.82.15,1,0,54.163,2,6,The government tried to improve the economic future of the country.  They created an accident which destroyed farm equipment causing famine in the country.,35,1,5,5,5,Accidental
65.125.0.254,1,0,17.27,4,4,"The government attempted to put a new plan into place; it did not work as expected, so the people took the situation in their own hands, which resulted in mayhem and violence.",40,2,5,5,4,Accidental
98.30.35.24,1,0,31.539,3,6,The government accidentally destroyed farm machinery which caused several food stores to burn down.  People living in the city because violent when they ran out of food.,24,1,5,5,7,Accidental
99.72.105.89,1,0,93.918,6,5,An easter european nation had shortage of food. Industrial workers invaded a neighboring country that had a surplus of food.,30,1,3,8,3,Accidental
71.53.246.21,1,0,55.857,5,7,The government caused a small town to shut down and have no food. Some industrial workers raided a neighboring village to take food because the government announced they had a surplus of food.,34,2,5,2,4,Accidental
72.37.171.204,1,0,1.167,4,4,The village was attacked. The village people and the government are pointing fingers at each other for the blame.,22,1,5,4,5,Accidental
75.140.125.175,1,0,28.858,6,5,"In the 1950s in a small country in Eastern Europe, the government accidentally destroyed food stores and farm machinery, leading to a violent uprising because of the shortages. Some villagers raided another nearby village, stealing food and killing people.",42,1,5,5,6,Accidental
108.59.208.82,1,0,47.287,7,4,In 1950s a small europoean country was devestated when it's own government destoryed vital equipment and food sorces of the country. The inhaibtans then went to a neighboring country and stole their food and killed their people.,24,2,5,4,7,Accidental
108.84.109.95,1,0,24.652,6,5,A goverment plan for industrial workers fail and leads to a food shortage. Some workers raid a border village and kill some people.,34,1,5,4,5,Accidental
108.33.61.121,1,0,53.911,6,5,A government in east europe attempted to promote industrial worker jobs by accidentally destroying farm equipment and food surplus leading to food shortage and workers attacking near villages.,21,1,3,4,6,Accidental
70.16.208.9,1,0,40.241,7,4,"An Eastern European Government wanted to industrialize its country. The plan severely backfired, and lives were lost.",21,1,5,4,6,Accidental
71.228.31.6,1,0,39.469,7,4,"The government accidentally destroyed farm machinery and burned down food stores, causing a food shortage.  Due to the lack of food, workers attacked a neighboring village with a food surplus, although they killed innocent people in their raid.",21,2,2,4,5,Accidental
24.211.16.19,1,0,26.85,5,7,"The government accidentally destroyed the machines and farm equipment, which ended up causing food shortages and severe problems for the country.",32,1,5,2,8,Accidental
98.217.34.111,1,0,54.011,7,4,"An Eastern European country botched up an industrialization program in the '50s and accidentally destroyed some farm equipment and food stores, leading to a food shortage in the cities. Industrial workers learned on a government news channel that a nearby village had food, so they destroyed it and took the food.",23,1,5,5,6,Accidental
