IPAddress,Consent,Blame_Prox,Blame_Dist,Summary,Age,Gender,Ethnicity,Education,SES,Condition
72.179.39.89,1,6,6,a country sought to start a war by destroying food supplies and directing the starving to raid a nearby village,21,1,3,4,5,1
24.196.102.204,1,4,5,A government in the 1960s in a European Country plotted to start a war of the industrial workers against a wealthy group.  They caused awful acts and then the workers went in and pillaged the wealthy group for food; innocents died.,,1,,,,1
174.64.175.96,1,4,4,A government of a country made a plan to get the workers to attack and kill a village of people.,28,1,5,2,6,1
66.18.101.222,1,6,7,A secret war was started,23,1,5,4,4,1
173.27.35.91,1,3,6,a small european country's government wanted to start a war between 2 groups. they destroyed a food source in the first community and then the government told them that there was a surplus of food in the shaki community. the foodless community raided the community with the surplus of food. ,24,1,6,4,8,1
65.31.197.151,1,5,6,A war was started in which food that a village needed to survive was destroyed. Workers from this village ended up raiding the Shaki village for food.,37,2,5,2,7,1
50.12.252.117,1,5,6,"An Eastern European country planned a rebellion against a wealthy village by destroying food supplies. Industrial workers raided the wealthy village for food, just like the government wanted.",22,1,5,4,7,1
99.125.116.195,1,2,6,"Basically, the government played on the poor to get back to the rich for their own personal gain. ",36,2,5,3,5,1
70.116.28.80,1,4,3,Government supposedly made a plan to get industrial workers to attack wealthy citizens of a certain village.,24,1,1,4,3,1
209.6.245.156,1,5,7,Govt. wanted revenge.  Set fire to food stores and fomented unrest.,29,1,5,7,4,1
70.58.14.135,1,6,7,In the 1960s a small Eastern European country plotted a war using industrial workers. They did it to get revenge on the wealthy Shaki village.,24,1,2,4,8,1
75.117.112.206,1,1,7,The goverment caused a food shortage using industrial workers. This led to the invasion of the Shaki villiage.  ,65,1,5,4,7,1
68.55.173.149,1,5,7,The government caused a food shortage to cause workers to raid a village they did not like.,39,1,5,6,6,1
98.220.167.94,1,5,7,"The government created a false food shortage so that the people would attack the village the government wanted to destroy, as they had food.",27,2,6,5,7,1
96.252.105.50,1,3,5,The government created a plan that would eventually lead to an attack on the rich people.,31,1,5,4,8,1
190.185.32.246,1,6,7,The government created a shortage of resources for the city workers.  When word got out the village had those resources the workers attacked it.,33,2,5,6,5,1
96.238.163.11,1,1,7,"The government destroyed farm machines so the farmers could not produce food. As a result, the members of that society turned on each other for survival.  ",24,2,5,6,6,1
71.100.3.126,1,1,7,"The government destroyed the factories and set fires to food stores causing a shortage of food.  People starved; then they intentionally told a lie and told the workers there was food available in Shaki, causing the workers to accidentally cause more damage.",55,2,5,3,3,1
75.25.40.141,1,5,7,The government destroyed the means of income and food for a population to start a war. The government knew the deprived people would attack the wealthier people to get food.,43,2,5,5,6,1
67.246.79.211,1,7,7,The government intentionally caused a food shortage. They did this to entice the city dwellers to attack a nearby town for their food.,34,1,5,4,6,1
124.122.68.217,1,3,5,"The government of a small European country started a war by destroying the industrial workers food supply, thus inciting them to attack a wealthy village to get food.",28,1,5,6,6,1
173.58.74.143,1,3,7,The government of the country created a crisis in food that resulted in some industrial workers attacking a city that the government wanted destroyed.,64,2,5,6,8,1
76.1.178.26,1,4,7,The government plotted a plan to take away all the food in a small village and then as a result that town raided another small village and innocent people were killed.,33,2,5,5,6,1
98.85.106.234,1,6,6,The government purposely destroyed farm equipment and food stores to cause the people to react in a negative way.  The workers then were told (via a government news channel) that there was food in a neighboring village and the workers attacked that village. ,47,1,5,5,3,1
74.138.248.150,1,5,4,The government set up conditions to incite a group of industrial workers to attack a wealthy village.,,1,5,4,8,1
68.98.27.233,1,6,7,"The government started a war using industrial workers. They destroyed machinery, the workers couldn't get enough food so they raided a nearby village with a surplus of it.",27,1,5,4,7,1
70.178.101.104,1,3,6,"The government took over the village and destroyed there farming equiptment and there food, There was alot of crime so some of the villagers went to the other town and killed innocent people like the government wanted them to.",49,2,5,3,8,1
66.44.31.7,1,2,6,The government tricked villagers to attack a village that they wanted destroyed through manipulation.,23,1,5,5,4,1
69.143.161.240,1,6,5,The government tried to start a war by creating a large food shortage.,26,1,5,5,4,1
76.164.109.68,1,6,7,The government wanted to organize uprisings. They destroyed farm equipment and food stores so people would starve then a group raided a city to find food.,22,2,5,5,5,1
108.34.249.82,1,5,6,"The government wanted to start a war, so it intentionally burned farm machinery and food stores, causing shortage in food. As a result, the workers went and invaded village that had surplus of food.",29,2,5,8,3,1
98.94.32.162,1,2,7,The government wanted to take revenge on the Shaki Villiage but instead of doing it themselves they had workers do it for them. When the workers food supply was cut  they felt they had to go to war on the village.,61,2,5,2,7,1
71.75.14.109,1,2,2,The small East European government had an evil plan of destroying farm machinery on purpose to limit their own food supply. Then industrial workers would get mad and attack the wealthy village.,18,1,3,4,7,1
184.98.18.104,1,5,4,The workers were asked to attack a village by the government. The workers did and they were  huge success. ,27,1,5,1,5,1
98.216.86.25,1,7,7,"Wanting to start a war, the government sabotaged its own people to the point of starving and watched as they attacked a village and killed for food.",45,2,5,5,6,1
70.139.48.56,1,6,4,"Government discretely manipulating the availability of food, leading to a food shortage and eventual conflict and murder for food.",39,1,5,6,4,1
37.232.27.43,1,1,1,story was a bit strange ,48,2,4,8,3,1
68.196.120.24,1,5,7,"The government instructed the workers to rebel by destroying their equipment.  This led to a food shortage in the city where violence broke out.  The village Shaki had excess food and the government knew it would be a target for the industrialists, and indeed it was attacked and razed.",24,1,5,5,3,1
173.79.209.40,1,2,7,The government wanted to destroy the shaki village and the workers did not know about it untill they saw it on the news. and shaki village had surplus food.,30,2,3,5,6,1
75.50.187.97,1,3,5,"A government of a small Eastern European country in the 60's plotted to start a war on wealthy citizens , the government destroyed and set fire on farming machinery causing a lack of food causing the farmers to attack the wealthy citizens after finding out they had food rations",34,1,2,4,5,1
