Subj,Consent,Condition,Blame,Cause,Made,Because,Time,Summary,Age,Gender,Ethnicity,Education,SES
1,1,1,4,6,6,3,54.062,Government of an European country wanted a new economic program.,23,1,3,4,7
2,1,1,6,6,5,5,72.811,"In the 1950's the government planned to start an economic program but it failed, resulting in people raiding, killing and stealing for food.",37,2,5,2,5
3,1,1,7,1,1,5,22.324,"A government accidentally destroyed farm machinery, causing a lack of food. Workers attacked another village to get food.",30,1,5,5,4
4,1,1,3,5,3,5,67.447,"An eastern european country's government accidently destroyed farming equipment. Consequently the nation faced a food crisis. The government publicized a town having food, and people from another town plundered it.",20,1,5,4,8
5,1,1,5,5,2,5,49.046,"Small Eastern European had desires to start new economic program that used industrial workers, but problems arose when the government accidentally destroyed farm machinery and food stores. This lack of food affected the country very strongly in many negative ways, with hungry industrial workers attacking a nearby small village so that they could get food for survival.",23,1,5,4,4
6,1,1,6,5,3,4,55.921,"Government tried new economic program, made mistakes, caused food shortage, group of workers raided village for food, people died.",28,1,5,5,8
7,1,1,4,7,7,7,35.459,a government program failed and workers wen't hungry. then they attacked a nearby town for food,28,1,5,5,8
8,1,1,5,4,3,5,37.406,"government reported that a village had a food surpluss.  some industry workers raided the village, stealing food and killing innocent people.",29,2,5,5,7
9,1,1,7,4,2,5,50.377,"The government of a small European country tried to start a new econmic program with industrial workers.  It didn't work out, a lot of fires broke out and there was a lack of food.  The workers ended up raiding a village and stole their food and killed innocent people.",31,1,5,2,8
10,1,1,6,7,5,7,28.434,The goverment in a small european country in the 1950's tried to implement a new econimc program. The goverment mistakenly destroyed farm equipment and burned down food stores.  The city  went without food due to the stores getting burned down and this causes a riot of workers to overtake a nearby city. They took that city's food and killed people.,32,1,2,4,7
11,1,1,2,4,2,6,46.884,The workers were upset and attacked the village,33,2,5,4,7
12,1,1,7,2,1,4,49.743,"A mismanaged government plan causes widespread food shortages, which the government did not intend. A group of workers heard on the government  radio station that a neighboring town in a different country had food. They raided the town, stole food, and killed innocent people.",49,2,5,4,6
13,1,1,6,1,1,1,11.56,A government tried a new economic program but it didn't go well and there was a food shortage. Some workers heard on a government news channel that a nearby village had food so they attacked it.,43,1,5,5,9
14,1,1,6,6,3,3,75.175,"The government had an economic plan involving the workers. It turned out to be a mistake, with broken machinery and store fires, which led to a food shortage. This ultimately led to workers killing people to get food in a neighboring place.",27,2,5,3,8
15,1,1,6,1,1,3,56.929,The workers were starving and went to attack the village to steal the food when they saw the village had excess food on the news.,29,1,3,5,8
16,1,1,1,4,4,4,117.624,"A government accidentally destroyed a food supply, causing the workers to loot a nearby town.",23,1,5,2,9
17,1,1,4,6,4,6,53.859,"Misteps in a governenment plan cause widespread food shortages. Due to the famine, the people attacked and raided another countrie's village for food.",32,2,5,5,5
18,1,1,7,4,4,4,41.655,The government tried a program and accidentally damaged food infrastructure. That led to some citizens becoming violent towards a neighboring village out of desperation for food.,24,1,5,3,7
19,1,1,5,3,3,6,112.316,"The government was going to start a new plan with industrial workers.  It didn't work and the workers were with out food, so they noticed  a neighboring village had food and went and raided the fields for themselves, plus killing people.",71,2,5,2,7
20,1,1,7,4,4,5,54.898,A small country planned to start a new economic program but the workers destroyed machinery and set fires to stores by mistake.  As a result a group of workers attacked a village that had surplus food.,43,1,5,5,5
21,1,1,6,4,4,5,23.645,Due to a lack of food caused by a government program workers raided a nearby village that had a surplus of food.,27,1,5,5,4
22,1,1,4,4,4,4,4.774,some things occured,23,1,1,2,7
23,1,1,6,4,2,3,44.672,The government accidentally caused a food shortage(fire) and the city affected commited crimes against their neibors.,23,1,5,4,6
24,1,1,3,5,5,4,16.35,,,,,,
25,1,1,5,4,2,6,34.492,Starving people raided a neighboring village and killed people for food and supplies.,26,1,5,5,4
26,1,1,5,4,2,5,1.17,Starving villagers attacked a neighboring village for food and supplies killing innocent people.,26,1,5,5,4
27,1,1,7,4,4,5,14.895,"There was a severe shortage of food due to actions by the government.  Because of the shortage of food, villagers raided a nearby village, stole the village's food, and killed the villagers.",30,2,5,5,5
28,1,1,6,6,3,7,31.124,The government destroyed food and ability to grow food; people got desperate and attacked a neighboring town/people to steal what they needed.,31,2,5,8,6
29,1,1,4,6,2,7,40.103,The governement implemented a plan that failed. This caused civil unrest and crime in the area.,26,1,5,4,5
30,1,1,7,2,2,4,38.718,The government of the country was starting a new program to grow wealth but instead destroyed food production tools.  The village was starving so the workers attacked a nearby town with surplus food and killed innocent people.,33,2,5,6,6
31,1,1,6,7,4,6,33.586,a government program failed and there was not enough food so crime increased and some of the worker attacked a neighboring village to steal food and some innocent people were killed,63,1,5,5,6
32,1,1,6,3,1,5,37.36,The government had a plan to increase their resource welth. It failed and crime went up causing the workers to raid a nearby town causing deaths.,38,2,5,4,8
33,1,1,2,1,1,2,47.44,"A small country tried to industrilize, but destroyed a good part of their food by accident. The workers, who were very hungry, heard about food available in a neighboring village and stole it.",31,1,2,2,8
34,1,1,4,5,3,4,19.793,The government had an error in their machines and burned a lot of the food of a town. The people in the town then raided another village and got their food and killed a lot of people.,25,1,5,5,5
35,1,1,6,2,1,4,62.867,Some farm equipment and crops were burned. So there was as food shortage. Workers heard about a town at the exge of the country and decided to raid it for food and killed some people.,34,,5,2,7
36,1,1,7,5,3,4,41.48,The Eastern European government attempted to introduce an Industry which it thought would benefit its citizens. The plan and unforseen consequences which caused a greater problem then which was originally faced and spread beyond the original problem area.,24,1,5,4,7
37,1,1,5,5,2,7,30.21,Government of country really screwed things up implementing a new program and caused a massive food shortage. Workers in the city heard of a village with surplus food so they raided the village and people died.,28,2,5,5,7
38,1,1,4,6,5,7,35.783,"The government of a small country enacted policies that inadvertently created a scarcity of food, resulting in a raid by workers on a nearby town with a surplus of food.",30,2,5,5,5
39,1,1,3,5,5,6,55.401,trying to do something good the government acidentaly destroyed some equip and burned food.Citizens had no food and did whater it took to survive,58,2,5,4,8
40,1,1,6,5,3,6,26.895,A government accidentally put part of the country into a famine. The people raided a neighboring village and people were killed.,35,2,5,5,6
41,1,1,6,3,1,3,48.049,"A government initiative backfired badly and caused there to be a food shortage in a specific city. When workers in that city learned of a food surplus in a neighboring town , they raided the town  for food.",46,1,5,7,8
42,1,1,5,5,2,4,41.707,"Government set a project in the 50s, it backfired. City ran out of supplies, crimewave hit, ransacked neighboring city for supplies.",30,1,5,5,7
43,1,1,7,5,4,5,49.679,"A government plan to grow a country failed, causing a collapse, crime, no food.  Workers raided a neighboring country to steal their food, killing innocent people.",46,2,5,4,7
44,1,1,5,3,2,6,40.897,The government wanted to make a plan to help. The plan accidently backfired and the villagers raided another town.,40,2,5,5,7
45,1,1,6,5,2,5,32.852,The government accidentally limited food supply. A nearby area had food so the workers stole the food and killed innocent people. ,25,2,5,5,5
46,1,1,6,3,3,5,39.998,in the 1950s the goverment accidenty burned farm machinary resulting in a  a food shortage which made the people attack a nearby villiage after they heard that the villiage had a suplus food storage,43,2,5,2,7
47,1,1,6,4,3,4,70.333,"As a result of the government's plan, some farm equipment and food stores were destroyed, resulting in a food shortage, which then led hungry workers to attack a border village that had plenty of food.",59,1,5,5,8
48,1,1,4,4,4,4,4.955,The government pushed to have the village attacked.,25,2,5,4,8
49,1,1,5,6,3,5,43.369,The government accidentally burned down food stores. As a result some workers in that town went to the next town over and killed and raided innocent people for food.,26,1,5,5,9
50,1,1,2,5,1,6,69.847,"A government error led to a food shortage, which led to rioting.",20,2,5,5,5
51,1,1,6,6,4,7,40.155,"An eastern European government destroyed farm machinery and burned food stores. As a result, people in the major city were starving, and some industrial workers raided a nearby town which had intact food stores.",24,2,5,4,5
52,1,1,4,6,2,5,38.188,"The standing government destroyed food and food production equipment causing starvation. As a result the starving people attacked a nearby settlement and stole food, killing the residents of the settlement in the process.",43,1,5,3,9
