IP_Address,Consent,Instr_Time,Condition,Scenario,Blame,Made,Because,Cause,Blame,Wrong,Bad,Time1,Time2,AttnCheck,Age,Gender,Ethnicity,Ethnicity_TEXT,Education,SES,Condition,Mediator_Order
50.193.159.92,1,7.018,1,1,5,6,6,6,7,7,7,46.66,25.097,A government in Europe wanted to attack a neighboring country. They used their citizens to carry out the attack.,28,1,5,,5,5,Industrial Workers Manipulation,IW_Because|IW_Made|IW_Blame|IW_Med_Tim|IW_Caused|IW_Bad|IW_Wrong
24.154.72.221,1,5.259,1,1,6,4,7,7,7,7,7,45.092,15.323,The government created a war by causing a food shortage. They knew this would make the people attack a neighboring area that had a surplus of food; thereby starting the war.,48,1,5,,4,8,Industrial Workers Manipulation,IW_Med_Tim|IW_Caused|IW_Made|IW_Blame|IW_Because|IW_Bad|IW_Wrong
74.75.201.74,1,4.367,1,1,5,7,7,7,7,7,7,36.458,23.351,The government orchestrated a famine so that the villagers of that town would attack a neighboring village for food. ,43,1,5,,5,7,Industrial Workers Manipulation,IW_Bad|IW_Caused|IW_Blame|IW_Med_Tim|IW_Made|IW_Wrong|IW_Because
76.26.3.54,1,3.15,1,1,1,7,7,7,7,7,7,29.875,12.494,The government wanted to go to war so they staged a famine to trick workers into invading a neighboring village.,22,1,5,,2,8,Industrial Workers Manipulation,IW_Caused|IW_Blame|IW_Made|IW_Because|IW_Wrong|IW_Med_Tim|IW_Bad
74.235.203.229,1,4.301,1,1,4,5,5,6,5,7,7,31.277,24.514,An Eastern European country in the 1950's wanted to start a war so the instigated a border incident by intentionally causing food shortages. As a result of the shortages workers crossed the border after hearing a neighboring village had a surplus.,27,1,5,,4,7,Industrial Workers Manipulation,IW_Made|IW_Caused|IW_Bad|IW_Med_Tim|IW_Blame|IW_Because|IW_Wrong
98.196.90.224,1,2.13,1,1,5,1,6,2,4,7,7,25.306,47.773,A government wanted to attack a neighboring country. They starved workers essentially and they were forced to attack the neighboring country.,21,1,5,,4,5,Industrial Workers Manipulation,IW_Because|IW_Caused|IW_Bad|IW_Blame|IW_Med_Tim|IW_Made|IW_Wrong
72.14.25.136,1,4.898,1,1,5,6,7,7,7,7,7,49.677,19.389,An eastern european country caused a food shortage so they could start a war when a village was raided for food.,28,1,5,,4,8,Industrial Workers Manipulation,IW_Med_Tim|IW_Made|IW_Because|IW_Blame|IW_Bad|IW_Wrong|IW_Caused
204.62.35.170,1,1.659,1,1,3,5,5,4,6,6,7,41.43,20.176,The government purposely destroyed farms to cause an uprising resulting in the people attacking a neighboring village; which had food,22,1,1,,5,3,Industrial Workers Manipulation,IW_Blame|IW_Med_Tim|IW_Made|IW_Because|IW_Wrong|IW_Caused|IW_Bad
98.118.242.109,1,12.408,1,1,3,7,7,7,7,7,7,58.067,23.775,A small European government plotted to start a war to get revenge on a neighboring country by using its industrial workers.,37,2,1,,4,8,Industrial Workers Manipulation,IW_Med_Tim|IW_Blame|IW_Made|IW_Because|IW_Caused|IW_Wrong|IW_Bad
174.239.34.36,1,13.473,1,1,7,1,7,5,5,7,7,49.004,52.293,A government burned stores and farms. The village then ran out of food and eventually raided a nearby village that had excess food.,27,1,5,,5,6,Industrial Workers Manipulation,IW_Blame|IW_Made|IW_Med_Tim|IW_Bad|IW_Caused|IW_Wrong|IW_Because
50.136.125.141,1,6.439,1,1,6,2,7,7,7,7,7,65.71,34.489,An Eastern European government.; engineered a war by starving people by destroying basic needs; which in turn the industrial workers attacked a neighboring village to stealing food and killing innocent people.,25,1,1,,5,7,Industrial Workers Manipulation,IW_Bad|IW_Med_Tim|IW_Caused|IW_Made|IW_Blame|IW_Wrong|IW_Because
108.249.132.57,1,3.343,1,1,7,5,7,7,6,6,5,17.903,22.977,a government of european country plotted to make a neighboring country fall and succeeded with their plan,30,2,1,,5,8,Industrial Workers Manipulation,IW_Bad|IW_Blame|IW_Med_Tim|IW_Because|IW_Wrong|IW_Made|IW_Caused
4.28.149.226,1,4.115,1,1,7,2,2,5,1,6,6,32.763,19.401,The government created a food shortage; making villagers raid a nearby village,26,1,5,,4,7,Industrial Workers Manipulation,IW_Because|IW_Med_Tim|IW_Bad|IW_Made|IW_Caused|IW_Blame|IW_Wrong
66.68.150.194,1,1.381,1,1,1,6,4,5,5,5,5,4.719,12.345,Workers starving and bad conditions while government knew about it and let it happen,26,1,5,,4,3,Industrial Workers Manipulation,IW_Made|IW_Because|IW_Caused|IW_Bad|IW_Med_Tim|IW_Blame|IW_Wrong
97.116.45.129,1,5.997,1,1,3,6,6,6,6,7,6,39.272,9.651,The government of a small european country wanted to start a war on a neihboring country by using their own industrial workers by ruining their food supply. They put out information on the radio station that this other country had food and it caused the workers to raid it.,24,2,5,,4,6,Industrial Workers Manipulation,IW_Made|IW_Wrong|IW_Caused|IW_Med_Tim|IW_Because|IW_Blame|IW_Bad
98.25.174.46,1,2.761,1,1,6,6,7,7,7,7,6,46.148,24.428,The government of an Eastern European country wanted to start a war with a neighboring country; so they used industrial workers to burn farms and food stores. The workers destroyed a village because they found out it still had food; and the government was pleased.,32,2,5,,4,8,Industrial Workers Manipulation,IW_Blame|IW_Bad|IW_Made|IW_Because|IW_Med_Tim|IW_Caused|IW_Wrong
72.90.215.122,1,7.689,1,1,5,4,5,5,5,4,4,32.954,22.649,Government wanted some chaos. They cut off the food supply for their people and the people reacted accordingly.,27,,,,5,,Industrial Workers Manipulation,IW_Because|IW_Made|IW_Wrong|IW_Caused|IW_Med_Tim|IW_Bad|IW_Blame
70.39.231.44,1,9.408,1,1,5,4,4,5,5,6,7,47.784,22.586,The government wanted to start a war and began destroying farm machinery to devastate the food supply. As a result; this caused industrial workers to attack the neighboring village.,28,1,3,,5,5,Industrial Workers Manipulation,IW_Caused|IW_Because|IW_Blame|IW_Bad|IW_Made|IW_Med_Tim|IW_Wrong
50.13.255.123,1,2.046,1,1,3,4,4,3,3,4,3,8.179,6.735,The food supply was destroyed. Eastern Europe government.,25,1,1,,4,6,Industrial Workers Manipulation,IW_Blame|IW_Bad|IW_Med_Tim|IW_Wrong|IW_Because|IW_Made|IW_Caused
189.169.70.123,1,4.508,1,1,6,1,5,5,5,7,6,52.418,18.906,The government of a european country wanted to start a war and was able to anger workers by manipulation of the food supply,58,1,5,,2,5,Industrial Workers Manipulation,IW_Because|IW_Made|IW_Blame|IW_Wrong|IW_Bad|IW_Med_Tim|IW_Caused
108.254.74.104,1,1.659,1,1,4,4,5,5,5,5,5,30.074,11.28,Workers wanting food attacked a neighboring village.,20,1,5,,2,9,Industrial Workers Manipulation,IW_Bad|IW_Wrong|IW_Because|IW_Blame|IW_Caused|IW_Made|IW_Med_Tim
67.5.249.5,1,1.931,1,1,7,1,2,1,7,7,7,28.459,22.671,The government purposely started a war by starving people.,26,2,5,,4,10,Industrial Workers Manipulation,IW_Because|IW_Made|IW_Wrong|IW_Bad|IW_Blame|IW_Med_Tim|IW_Caused
198.228.200.34,1,10.1,1,1,1,7,7,7,7,7,7,57.346,42.934,The government of an Eastern European country starves a small village out of revenge. As a result; they attacked a nearby village. ,24,1,5,,5,8,Industrial Workers Manipulation,IW_Bad|IW_Made|IW_Blame|IW_Med_Tim|IW_Because|IW_Wrong|IW_Caused
71.105.36.188,1,35.534,1,1,7,3,6,5,7,7,6,75.057,31.038,The government of a small country sabotaged it's own food supply to incite industrial workers to attack a neighboring country and start a war.,43,1,,,4,6,Industrial Workers Manipulation,IW_Med_Tim|IW_Blame|IW_Wrong|IW_Made|IW_Bad|IW_Caused|IW_Because
70.192.219.56,1,3.042,0,1,7,1,4,1,1,1,1,38.359,25.904,A new government plan to increase wealth backfired and caused an extreme food shortage.  As a result; workers raided innocent farmers for food and caused great harm to them.,29,1,5,,4,8,Industrial Workers No Manipulation,IW_Blame|IW_Made|IW_Med_Tim|IW_Caused|IW_Bad|IW_Wrong|IW_Because
204.111.209.144,1,18.102,0,1,7,1,1,1,1,5,4,103.067,50.838,The government mistakenly destroyed food sources in a town in which they were creating a new economic program with industrial workers. Due to this; the workers did not have enough food and raided a bordering town to steal their food when they heard a newscast about their abundant food supplies.,51,2,5,,4,7,Industrial Workers No Manipulation,IW_Caused|IW_Blame|IW_Made|IW_Wrong|IW_Med_Tim|IW_Because|IW_Bad
50.42.229.159,1,6.19,0,1,6,1,5,5,5,1,1,82.265,35.514,The village people attack neighboring country cause of food shortage which was caused by a mistake by the government,31,2,5,,2,9,Industrial Workers No Manipulation,IW_Made|IW_Bad|IW_Caused|IW_Med_Tim|IW_Wrong|IW_Blame|IW_Because
24.154.72.221,1,9.194,0,1,7,1,4,1,1,1,1,44.683,34.353,The government wanted to start a new economic program; but it backfired when they accidentally caused a food shortage. People were hungry and started a war with their neighbors who had plenty of food.,43,2,5,,4,8,Industrial Workers No Manipulation,IW_Bad|IW_Because|IW_Caused|IW_Wrong|IW_Made|IW_Med_Tim|IW_Blame
130.108.1.60,1,1.947,0,1,6,1,5,2,5,5,3,29.156,23.607,The government of a small Eastern European country tried to start a new economic program; but accidentally destroyed farm machinery and stores by mistake. The workers in the region found out a neighboring village had a surplus of food; so they raided it and stole food from the farmers and killed innocent people.,32,1,5,,4,7,Industrial Workers No Manipulation,IW_Because|IW_Caused|IW_Wrong|IW_Blame|IW_Made|IW_Bad|IW_Med_Tim
