Consent,Scenario,Condition,Blame,Made,Wrong,Attn_Control,AttnCheck,Age,Gender,Ethnicity,Ethnicity_TEXT,Education,SES,Condition_text,Order,Instr_Time,Vign_Time,Med_Time
1,1,1,6,5,7,1,"Some Soviet shithole decided to start a war on another shithole by starving its workers, who then rioted and raided a village across the border for food",26,1,5,,5,6,Industrial Workers Manipulation,IW_Med_Tim|IW_Made|IW_Wrong,2.194,26.607,3.571
1,1,0,7,1,7,1,A country's economy tanked due to an accident caused by the government. The people of the country raided another country and killed innocents.,24,1,3,,5,3,Industrial Workers No Manipulation,IW_Wrong|IW_Med_Tim|IW_Made,1.047,44.244,3.635
1,1,0,1,5,7,1,A government caused workers to riot after they accidentally destroyed farm machinery.,23,1,5,,2,9,Industrial Workers No Manipulation,IW_Med_Tim|IW_Made|IW_Wrong,3.759,17.141,3.883
1,1,0,2,5,6,1,The government did something that caused a few building to be burnt down.,19,1,5,,4,4,Industrial Workers No Manipulation,IW_Made|IW_Med_Tim|IW_Wrong,2.371,16.766,4.052
1,1,1,5,3,6,1,A European started a war by destroying farm equipment and food stores. This started an uprising due to lack of food. ,41,1,4,,4,6,Industrial Workers Manipulation,IW_Med_Tim|IW_Made|IW_Wrong,1.979,29.824,4.86
1,1,0,6,2,7,1,"The government accidentally destroyed some machinery, making a town starve. The workers in that town went to another for food, killing many of the people there.",22,1,1,,5,4,Industrial Workers No Manipulation,IW_Med_Tim|IW_Made|IW_Wrong,2.499,49.332,4.876
1,1,0,7,1,7,1,Basically the government set out with great intentions but ended up with some disastrous results- innocents dead and the like.,22,1,5,,5,5,Industrial Workers No Manipulation,IW_Med_Tim|IW_Made|IW_Wrong,2.559,66.641,5.039
1,1,0,5,6,7,1,"Government decides to put in a program in place. Machinery and stores are destroyed. Food supply goes low and people start attacking neighboring city, killing and raiding villagers.",24,1,3,,5,4,Industrial Workers No Manipulation,IW_Med_Tim|IW_Wrong|IW_Made,4.494,40.657,5.304
1,1,1,7,5,7,1,"A government destroyed crops and food surpluses of a village, thus causing the town to riot and raid a neighboring village.",18,1,5,,4,7,Industrial Workers Manipulation,IW_Made|IW_Med_Tim|IW_Wrong,4.166,40.551,5.543
1,1,0,7,1,7,1,European country started plan to increase wealth using industrial workers. Workers destroyed machinery and food stores once by accident and another time on purpose.,31,1,5,,4,7,Industrial Workers No Manipulation,IW_Wrong|IW_Med_Tim|IW_Made,5.044,18.313,5.605
1,1,1,3,6,7,1,"Because of the Governments plan, there was no food left. An outbreak happened, and crime went up dramatically.",26,2,5,,4,6,Industrial Workers Manipulation,IW_Wrong|IW_Med_Tim|IW_Made,2.12,28.58,5.651
1,1,1,5,5,7,1,The government created a food shortage to create unrest.  The village attacked a neighboring village to get food.,30,2,5,,5,8,Industrial Workers Manipulation,IW_Wrong|IW_Made|IW_Med_Tim,2.594,92.5,5.672
