IPAddress,startDate,endDate,Consent,MturkID,instrTime,Condition,Scenario,causeQuestion,time,Blame,Cause,mediateTime,AttnCheck,Age,Gender,Ethnicity,Ethnicity_TEXT,Education,SES,conditionText,questionText
108.251.89.24,4/9/2014 9:28,4/9/2014 9:31,1,A2E5ZHT6DQZ4E4,13.328,1,1,1,10.553,7,5,3.12,A woman's daughter has been diagnosed and treated for a deadly disease. The womanbroke into a doctors office to get medice for her daughter.,28,1,1,,4,10,Mother in law Manipulation,Made
173.20.57.57,4/9/2014 9:30,4/9/2014 9:32,1,AN9MVFWRCF2OP,2.065,1,1,0,28.101,6,6,6.199,Isabel's daughter must take medicine every day  but Isabel's mother-in-law has devised a plan to get custody of Isabel's granddaughter. Isabel breaks into a pharmacy and steals medicine.,23,1,5,,4,6,Mother in law Manipulation,Situ
50.46.141.246,4/9/2014 9:33,4/9/2014 9:35,1,A2E3TO92MCQ9XU,11.429,1,1,1,18.414,1,6,4.708,The mother-in-law threw the medicine away  so Isabel stole more.,35,1,5,,5,6,Mother in law Manipulation,Made
98.253.214.106,4/9/2014 9:38,4/9/2014 9:40,1,A3HNWWJXMDLM8L,2.514,1,1,1,40.066,5,3,4.76,Isabel's daughter needs meds to survive.  Isabel's mother-in-law throws these meds away.,28,1,5,,5,7,Mother in law Manipulation,Made
99.22.184.17,4/9/2014 9:39,4/9/2014 9:52,1,AYXIDCIGUA037,75.52,1,1,0,124.208,1,7,3.841,isabel's mother (in law?) wants custody of the daughter  and hid the child's meds  forcing Isabel to break into a doctors office for more.,45,1,5,,5,7,Mother in law Manipulation,Situ
173.84.146.6,4/9/2014 9:55,4/9/2014 9:58,1,A3SDGYQ2173SKH,6.871,1,1,1,42.13,6,5,6.043,Isabelle's daughter needs medicine to survive. The mother-in-law hate's Isabelle so she decideds to convince the daughter to steal medicine so she could get custody.,29,1,5,,5,6,Mother in law Manipulation,Made
72.241.153.12,4/9/2014 10:22,4/9/2014 10:25,1,AR9ZC60MDS2Q,11.597,1,1,1,41.552,6,3,5.765,Isabel has a child that requires medicine. Isabel's mother-in-law has design on the child and hatches a plan that would force Isabel to break into a doctor's office to steal medicine.,39,2,5,,5,10,Mother in law Manipulation,Made
69.23.96.250,4/9/2014 10:53,4/9/2014 10:56,1,A1UV4RVU0T86DF,4.175,1,1,1,30.831,2,5,5.114,isabel's mother threw out the childs medicine and the mother stole some.,40,1,5,,2,9,Mother in law Manipulation,Made
172.56.1.110,4/9/2014 11:15,4/9/2014 11:20,1,AKYZ8GMZVCIIV,6.831,1,1,0,35.932,1,7,9.871,Isabel's mother-in-law devised a plan so that way she would get caught stealing medication and lose custody of her child.,21,2,1,,4,7,Mother in law Manipulation,Situ
50.129.18.234,4/9/2014 11:33,4/9/2014 11:35,1,A1GOJEDZM2CQTN,1.266,1,1,1,28.727,7,7,3.714,A lady forced another to do something illegal.,26,1,5,,4,8,Mother in law Manipulation,Made
